Epoch,MeanAcc,MeanLoss,LR,ValAcc,ValLoss
1,13.36,6.03,[1e-05],15.93,5.55
2,18.26,2.67,[9.938441702975689e-06],19.72,2.32
3,20.06,2.26,[9.755282581475769e-06],22.34,2.20
4,22.25,2.23,[9.45503262094184e-06],22.13,2.24
5,23.03,2.19,[9.045084971874738e-06],21.44,2.17
6,22.76,2.17,[8.535533905932739e-06],23.89,2.11
7,23.49,2.13,[7.938926261462368e-06],24.07,2.10
8,23.70,2.15,[7.269952498697736e-06],22.99,2.10
9,24.18,2.12,[6.5450849718747394e-06],25.00,2.10
10,24.92,2.09,[5.7821723252011565e-06],25.25,2.10
11,24.29,2.08,[5.000000000000001e-06],25.35,2.08
12,25.56,2.08,[4.217827674798848e-06],26.18,2.07
13,25.25,2.08,[3.454915028125264e-06],25.69,2.06
14,25.17,2.06,[2.7300475013022666e-06],24.72,2.08
15,25.58,2.06,[2.061073738537635e-06],24.81,2.12
16,25.12,2.07,[1.4644660940672626e-06],24.93,2.03
17,25.80,2.06,[9.549150281252633e-07],24.88,2.08
18,26.02,2.05,[5.449673790581611e-07],25.60,2.03
19,25.60,2.05,[2.447174185242324e-07],25.97,2.04
20,25.34,2.04,[6.155829702431172e-08],25.46,2.11
