Epoch,MeanAcc,MeanLoss,LR,ValAcc,ValLoss
1,22.92,2.11,[1e-05],28.94,1.97
2,31.92,1.89,[9.938441702975689e-06],37.96,1.76
3,39.49,1.69,[9.755282581475769e-06],45.25,1.58
4,45.31,1.54,[9.45503262094184e-06],45.21,1.53
5,49.59,1.42,[9.045084971874738e-06],49.98,1.39
6,52.80,1.31,[8.535533905932739e-06],53.47,1.29
7,54.77,1.26,[7.938926261462368e-06],55.81,1.24
8,57.20,1.20,[7.269952498697736e-06],57.18,1.18
9,58.95,1.14,[6.5450849718747394e-06],59.72,1.10
10,59.74,1.11,[5.7821723252011565e-06],60.23,1.13
11,61.41,1.07,[5.000000000000001e-06],60.74,1.11
12,63.18,1.04,[4.217827674798848e-06],60.86,1.06
13,63.62,1.01,[3.454915028125264e-06],63.43,1.02
14,64.00,0.99,[2.7300475013022666e-06],62.94,1.03
15,65.42,0.97,[2.061073738537635e-06],64.05,0.99
16,65.08,0.96,[1.4644660940672626e-06],63.77,1.01
17,66.41,0.94,[9.549150281252633e-07],64.21,0.98
18,66.11,0.94,[5.449673790581611e-07],65.65,0.98
19,66.23,0.93,[2.447174185242324e-07],65.19,0.97
20,65.86,0.94,[6.155829702431172e-08],64.47,0.98
