Epoch,MeanAcc,MeanLoss,LR,ValAcc,ValLoss
1,18.03,2.48,[1e-05],31.81,1.77
2,47.68,1.39,[9.938441702975689e-06],54.49,1.23
3,57.51,1.14,[9.755282581475769e-06],55.32,1.20
4,61.11,1.02,[9.45503262094184e-06],62.89,1.00
5,64.05,0.96,[9.045084971874738e-06],68.08,0.86
6,67.04,0.90,[8.535533905932739e-06],65.69,0.95
7,68.32,0.87,[7.938926261462368e-06],69.14,0.84
8,70.41,0.81,[7.269952498697736e-06],72.78,0.75
9,71.97,0.76,[6.5450849718747394e-06],72.50,0.76
10,72.75,0.74,[5.7821723252011565e-06],75.30,0.69
11,73.79,0.72,[5.000000000000001e-06],72.66,0.76
12,74.37,0.69,[4.217827674798848e-06],74.77,0.69
13,75.38,0.67,[3.454915028125264e-06],75.25,0.69
14,75.98,0.65,[2.7300475013022666e-06],75.97,0.66
15,76.49,0.64,[2.061073738537635e-06],76.90,0.63
16,77.16,0.62,[1.4644660940672626e-06],76.23,0.65
17,77.55,0.61,[9.549150281252633e-07],77.20,0.63
18,77.91,0.60,[5.449673790581611e-07],77.34,0.61
19,78.05,0.60,[2.447174185242324e-07],76.39,0.64
20,78.07,0.60,[6.155829702431172e-08],77.27,0.63
