Epoch,MeanAcc,MeanLoss,LR,ValAcc,ValLoss
1,5.83,10.70,[1e-05],7.13,6.34
2,6.90,5.34,[9.938441702975689e-06],8.31,4.71
3,7.16,4.28,[9.755282581475769e-06],7.43,3.93
4,7.77,3.79,[9.45503262094184e-06],9.08,3.54
5,7.60,3.39,[9.045084971874738e-06],8.55,3.25
6,7.92,3.18,[8.535533905932739e-06],7.78,3.17
7,8.17,3.14,[7.938926261462368e-06],8.49,3.12
8,8.53,3.09,[7.269952498697736e-06],8.90,3.15
9,8.65,3.07,[6.5450849718747394e-06],8.20,3.10
10,8.48,3.08,[5.7821723252011565e-06],9.02,3.07
11,8.85,3.05,[5.000000000000001e-06],9.08,3.02
12,8.93,3.03,[4.217827674798848e-06],7.72,3.03
13,9.00,3.03,[3.454915028125264e-06],9.02,3.04
14,9.40,3.01,[2.7300475013022666e-06],8.55,3.01
15,8.99,3.03,[2.061073738537635e-06],9.02,3.04
16,9.61,3.01,[1.4644660940672626e-06],8.73,3.01
17,9.46,2.98,[9.549150281252633e-07],9.49,3.04
18,9.63,2.98,[5.449673790581611e-07],8.73,3.05
19,9.09,2.99,[2.447174185242324e-07],9.38,3.02
20,9.57,2.99,[6.155829702431172e-08],10.44,3.01
