Epoch,MeanAcc,MeanLoss,LR,ValAcc,ValLoss
1,15.22,2.77,[1e-05],21.88,2.52
2,22.49,2.45,[9.938441702975689e-06],23.94,2.37
3,25.70,2.33,[9.755282581475769e-06],24.59,2.37
4,27.80,2.27,[9.45503262094184e-06],26.83,2.28
5,28.44,2.20,[9.045084971874738e-06],29.54,2.17
6,30.91,2.14,[8.535533905932739e-06],30.01,2.19
7,33.50,2.08,[7.938926261462368e-06],33.20,2.08
8,34.11,2.05,[7.269952498697736e-06],33.25,2.10
9,35.36,2.02,[6.5450849718747394e-06],33.55,2.10
10,36.93,1.97,[5.7821723252011565e-06],33.37,2.07
11,36.53,1.97,[5.000000000000001e-06],36.50,2.04
12,37.78,1.91,[4.217827674798848e-06],36.03,1.99
13,39.85,1.89,[3.454915028125264e-06],36.91,1.98
14,40.58,1.85,[2.7300475013022666e-06],35.79,2.00
15,41.09,1.83,[2.061073738537635e-06],35.67,1.96
16,41.64,1.81,[1.4644660940672626e-06],39.09,1.92
17,42.99,1.79,[9.549150281252633e-07],36.67,1.99
18,43.23,1.79,[5.449673790581611e-07],37.26,1.97
19,43.54,1.77,[2.447174185242324e-07],37.09,1.98
20,43.96,1.76,[6.155829702431172e-08],35.61,2.00
