Epoch,MeanAcc,MeanLoss,LR,ValAcc,ValLoss
1,15.21,3.51,[1e-05],25.00,2.38
2,29.23,2.20,[9.938441702975689e-06],32.49,2.08
3,35.52,1.99,[9.755282581475769e-06],36.56,1.90
4,39.20,1.88,[9.45503262094184e-06],37.85,1.89
5,41.04,1.78,[9.045084971874738e-06],41.10,1.77
6,44.55,1.69,[8.535533905932739e-06],48.05,1.65
7,46.16,1.64,[7.938926261462368e-06],48.29,1.59
8,47.11,1.58,[7.269952498697736e-06],50.06,1.57
9,49.88,1.51,[6.5450849718747394e-06],52.12,1.46
10,51.04,1.48,[5.7821723252011565e-06],50.65,1.49
11,52.51,1.42,[5.000000000000001e-06],53.60,1.39
12,53.74,1.39,[4.217827674798848e-06],54.95,1.38
13,54.96,1.36,[3.454915028125264e-06],54.95,1.37
14,56.06,1.32,[2.7300475013022666e-06],54.78,1.40
15,56.64,1.30,[2.061073738537635e-06],58.96,1.28
16,57.69,1.28,[1.4644660940672626e-06],56.37,1.32
17,58.32,1.25,[9.549150281252633e-07],56.84,1.31
18,58.76,1.24,[5.449673790581611e-07],58.08,1.27
19,58.85,1.23,[2.447174185242324e-07],57.43,1.29
20,58.96,1.23,[6.155829702431172e-08],58.37,1.29
