Epoch,MeanAcc,MeanLoss,LR,ValAcc,ValLoss
1,46.71,1.36,[1e-05],55.95,0.97
2,55.35,0.95,[9.938441702975689e-06],55.84,0.93
3,58.67,0.88,[9.755282581475769e-06],58.25,0.87
4,61.23,0.85,[9.45503262094184e-06],60.26,0.86
5,63.38,0.82,[9.045084971874738e-06],60.84,0.87
6,65.59,0.82,[8.535533905932739e-06],65.22,0.84
7,66.01,0.80,[7.938926261462368e-06],66.94,0.80
8,68.68,0.78,[7.269952498697736e-06],70.32,0.74
9,68.94,0.77,[6.5450849718747394e-06],70.32,0.72
10,69.59,0.76,[5.7821723252011565e-06],71.08,0.74
11,68.57,0.76,[5.000000000000001e-06],67.52,0.77
12,67.85,0.76,[4.217827674798848e-06],70.65,0.74
13,68.72,0.76,[3.454915028125264e-06],69.78,0.71
14,68.52,0.76,[2.7300475013022666e-06],68.12,0.75
15,69.73,0.72,[2.061073738537635e-06],72.05,0.67
16,68.95,0.75,[1.4644660940672626e-06],69.96,0.71
17,69.99,0.74,[9.549150281252633e-07],70.75,0.70
18,69.75,0.74,[5.449673790581611e-07],71.34,0.72
19,70.43,0.72,[2.447174185242324e-07],69.35,0.73
20,69.66,0.73,[6.155829702431172e-08],71.34,0.70
