Epoch,MeanAcc,MeanLoss,LR,ValAcc,ValLoss
1,71.21,0.70,[1e-05],75.93,0.62
2,80.80,0.48,[9.938441702975689e-06],82.61,0.44
3,82.57,0.44,[9.755282581475769e-06],81.90,0.43
4,83.10,0.43,[9.45503262094184e-06],81.25,0.44
5,83.04,0.43,[9.045084971874738e-06],83.36,0.41
6,86.11,0.38,[8.535533905932739e-06],84.87,0.39
7,86.44,0.37,[7.938926261462368e-06],85.58,0.37
8,86.71,0.35,[7.269952498697736e-06],85.99,0.35
9,87.58,0.35,[6.5450849718747394e-06],82.72,0.44
10,87.55,0.33,[5.7821723252011565e-06],86.10,0.37
11,88.52,0.31,[5.000000000000001e-06],87.93,0.32
12,88.55,0.30,[4.217827674798848e-06],85.78,0.37
13,89.52,0.29,[3.454915028125264e-06],87.72,0.33
14,89.65,0.28,[2.7300475013022666e-06],86.21,0.35
15,90.53,0.26,[2.061073738537635e-06],85.95,0.34
16,90.47,0.26,[1.4644660940672626e-06],87.50,0.33
17,90.30,0.25,[9.549150281252633e-07],87.28,0.33
18,91.08,0.25,[5.449673790581611e-07],88.10,0.30
19,90.87,0.26,[2.447174185242324e-07],89.22,0.30
20,91.59,0.24,[6.155829702431172e-08],88.47,0.30
