Epoch,MeanAcc,MeanLoss,LR,ValAcc,ValLoss
1,72.72,0.80,[1e-05],85.24,0.41
2,86.24,0.39,[9.938441702975689e-06],86.10,0.40
3,87.46,0.35,[9.755282581475769e-06],88.97,0.34
4,88.13,0.33,[9.45503262094184e-06],89.44,0.29
5,88.79,0.32,[9.045084971874738e-06],90.95,0.25
6,90.43,0.27,[8.535533905932739e-06],90.19,0.26
7,90.33,0.28,[7.938926261462368e-06],89.83,0.27
8,91.08,0.24,[7.269952498697736e-06],92.89,0.20
9,91.78,0.23,[6.5450849718747394e-06],91.81,0.21
10,92.05,0.22,[5.7821723252011565e-06],91.81,0.22
11,91.83,0.22,[5.000000000000001e-06],93.21,0.19
12,92.69,0.20,[4.217827674798848e-06],92.03,0.24
13,93.26,0.18,[3.454915028125264e-06],94.29,0.18
14,93.61,0.18,[2.7300475013022666e-06],93.21,0.18
15,93.47,0.17,[2.061073738537635e-06],94.29,0.16
16,94.52,0.16,[1.4644660940672626e-06],94.40,0.16
17,94.23,0.16,[9.549150281252633e-07],93.53,0.17
18,94.59,0.15,[5.449673790581611e-07],95.80,0.14
19,94.89,0.15,[2.447174185242324e-07],93.75,0.17
20,95.38,0.14,[6.155829702431172e-08],93.97,0.16
