Epoch,MeanAcc,MeanLoss,LR,ValAcc,ValLoss
1,46.24,9.61,[1e-05],68.24,0.96
2,78.51,0.62,[9.938441702975689e-06],81.15,0.56
3,84.03,0.46,[9.755282581475769e-06],82.99,0.51
4,86.17,0.39,[9.45503262094184e-06],81.99,0.54
5,87.50,0.36,[9.045084971874738e-06],85.00,0.43
6,89.46,0.30,[8.535533905932739e-06],85.34,0.44
7,91.28,0.24,[7.938926261462368e-06],84.93,0.48
8,92.03,0.23,[7.269952498697736e-06],86.27,0.41
9,94.57,0.16,[6.5450849718747394e-06],83.69,0.54
10,95.27,0.14,[5.7821723252011565e-06],87.54,0.44
11,97.19,0.09,[5.000000000000001e-06],87.56,0.44
12,98.28,0.06,[4.217827674798848e-06],85.14,0.53
13,98.93,0.04,[3.454915028125264e-06],88.92,0.40
14,99.85,0.01,[2.7300475013022666e-06],90.21,0.38
15,99.98,0.00,[2.061073738537635e-06],90.08,0.38
16,100.00,0.00,[1.4644660940672626e-06],90.28,0.38
17,100.00,0.00,[9.549150281252633e-07],90.15,0.39
18,100.00,0.00,[5.449673790581611e-07],90.12,0.39
19,100.00,0.00,[2.447174185242324e-07],90.12,0.39
20,100.00,0.00,[6.155829702431172e-08],90.12,0.39
