Epoch,MeanAcc,MeanLoss,LR,ValAcc,ValLoss
1,27.40,5.42,[1e-05],38.91,3.58
2,64.13,1.04,[9.938441702975689e-06],72.82,0.78
3,75.31,0.68,[9.755282581475769e-06],76.60,0.66
4,79.49,0.58,[9.45503262094184e-06],79.64,0.60
5,81.69,0.52,[9.045084971874738e-06],81.00,0.54
6,82.86,0.48,[8.535533905932739e-06],81.68,0.54
7,84.49,0.44,[7.938926261462368e-06],82.08,0.52
8,85.00,0.43,[7.269952498697736e-06],81.47,0.53
9,84.78,0.43,[6.5450849718747394e-06],83.08,0.50
10,85.94,0.40,[5.7821723252011565e-06],83.42,0.49
11,86.77,0.37,[5.000000000000001e-06],84.53,0.47
12,87.60,0.35,[4.217827674798848e-06],84.17,0.47
13,88.08,0.33,[3.454915028125264e-06],84.23,0.47
14,88.84,0.32,[2.7300475013022666e-06],84.78,0.47
15,89.16,0.30,[2.061073738537635e-06],84.19,0.47
16,89.79,0.29,[1.4644660940672626e-06],84.44,0.47
17,90.32,0.28,[9.549150281252633e-07],84.73,0.46
18,90.51,0.28,[5.449673790581611e-07],84.67,0.46
19,90.72,0.27,[2.447174185242324e-07],84.53,0.46
20,90.82,0.27,[6.155829702431172e-08],84.69,0.46
