Epoch,MeanAcc,MeanLoss,LR,ValAcc,ValLoss
1,48.16,1.56,[1e-05],63.90,1.12
2,70.60,0.86,[9.938441702975689e-06],74.70,0.71
3,79.98,0.57,[9.755282581475769e-06],82.49,0.49
4,84.37,0.44,[9.45503262094184e-06],85.71,0.40
5,86.72,0.37,[9.045084971874738e-06],87.41,0.37
6,88.62,0.33,[8.535533905932739e-06],87.02,0.38
7,89.80,0.29,[7.938926261462368e-06],89.81,0.31
8,90.75,0.26,[7.269952498697736e-06],88.76,0.32
9,92.01,0.22,[6.5450849718747394e-06],90.28,0.28
10,93.29,0.19,[5.7821723252011565e-06],90.51,0.30
11,94.33,0.16,[5.000000000000001e-06],90.83,0.28
12,95.87,0.12,[4.217827674798848e-06],91.23,0.27
13,96.93,0.09,[3.454915028125264e-06],91.96,0.27
14,98.15,0.06,[2.7300475013022666e-06],91.32,0.28
15,99.14,0.04,[2.061073738537635e-06],92.14,0.28
16,99.68,0.02,[1.4644660940672626e-06],92.34,0.28
17,99.89,0.01,[9.549150281252633e-07],92.39,0.29
18,99.97,0.01,[5.449673790581611e-07],92.50,0.30
19,99.98,0.01,[2.447174185242324e-07],92.59,0.30
20,99.99,0.01,[6.155829702431172e-08],92.52,0.30
